Address,Balance,PendingBalanceUpdate
"0x24451f47caf13b24f4b5034e1df6c0e401ec0e46","4,457,250.402627428190909819","No"
"0x4e30f3560d004953f963e54790098406e9f7cae1","145,601.363775315857864809","No"
"0xdba17a58883881cd2af6d2bca9f5ab8ba9bc64a5","21,577.987101883862520201","No"
"0xd2e0b028489e24ed832f8f7d95353565d1efbde8","9,740.987737383643521206","No"
"0xe6a2d99f1150a8c95c0542360feafca509774bc8","6,029.526611725502414526","No"
"0x7233ca2006c8e5162c0eb29d061e4a5bacb8bdd1","5,082.241529487728247201","No"
"0xa986056feb37fb7bda26b16f332b685ec6b2222d","4,186.394872893211247821","No"
"0x5636608b362e65396ed1a2b6f6d309caa8327035","4,036.998637742886940662","No"
"0xc126ebc835fbe29b5f346158138b5663d6f5e307","3,713.589113987726869209","No"
"0x6ecf94b09613864a9796d8d66d63551956f0632c","3,554.230787622462979722","No"
"0xc0498c8b9577c110515575fb8a29ecb53f6b11b8","3,277.856360272618526321","Yes"
"0xb26fbf5fbd32a095f925ffbc71073261e1081573","3,226.008750115247909255","No"
"0x2b7242e1c2254b48c4f9912d4719f149352f9d57","3,124.793773925842116918","No"
"0x195795ed981e7038a6b19e4bfd28b321210b7445","3,070.662476783315944204","No"
"0x824d7c48593395a859a5b365b51c05e44bc21cde","2,805.776506836957258014","No"
"0x2146520ca9fabb6ad227d0e8bce2bf18fd742bab","2,721.083036941474823117","No"
"0x506a25e75dee7cd03b98e94f7e08bf897b87991c","2,357.443159111883424462","No"
"0x1a10aa47a7ec57b29a33bb126b83ac594f58f95c","2,353.382578114321445223","No"
"0x2cf84928261f655a47d04ec714d3bedf9375de46","2,335.007751014846963809","No"
"0xa5d121732e2de441591e4b4bf6f7e300a0304493","2,304.225357264572070118","No"
"0xfbb52e9a352356371fc7eb7412bbb5d74f9e5994","2,027.306166485374065642","No"
"0x18beceb3674f20ee3f75c03ef06542c8c882d088","2,007.279043434729403792","No"
"0xee38c3c0ad0012bd1be6862b39ade4f969a50597","1,961.392432698287231128","No"
"0xd8d741dc89c1de3b2f314693752892255105c8aa","1,801.90891102246847366","No"
"0xe20feaa33fa181a29d2986c396647707fd83b1b4","1,764.004247930898612331","No"
"0xef86c6a333f25cf04ab6c767b9259fd5ea971f6b","1,709.344475521867049688","No"
"0xe92dd4badc44caea3328d224142a37bb26b6a746","1,655.073295862285720078","No"
"0xaaec547d3c730fc7d728b155265a49c71b9dd558","1,615.566036063177621208","No"
"0xc671392815cd0fd0b6a24be02230a85a69a96d88","1,578.006968316121404672","No"
"0x55b05577303a419a163eab61069c3fd76d1c59bd","1,518.627117217431383698","No"
"0xabd6a02c472e69c3c6fb502c5061e04fdcf06029","1,476.982353278378723357","No"
"0xa66d92fde186a14ff751d2b42e3aef645953cec4","1,438.367407953266288514","No"
"0xe5f096f6e89b7f8d328af059833d11f29f3fcdee","1,403.395097210032310014","No"
"0x5f5da8f2add168010dbf981517cdb4e8b176e364","1,391.837756962624720822","No"
"0x1346d9c6315f6c23fe280b49ef215aebd49338b2","1,383.674823663564841922","No"
"0x5f6957d64e0dc8711654be3d3bf792aedd83a0e6","1,371.904321062077474051","No"
"0xdaf19886361f2e6b53889296f7c5835059303f73","1,368.656812589386051869","No"
"0x5fdfa8361123d73aca2b91bde6a3e324d148f591","1,349.05153189143263057","No"
"0xebaab217a6f504df8e493a9d5b44e7e548461637","1,304.511632979821869966","No"
"0xf4859a0d738bdda102380637799e24ea11c16d43","1,293.620022755039918903","No"
"0x05244d033956ffce13da8331a6dd1e183d917194","1,285.319736246070838584","No"
"0xd435b22d96bfe40752e8b01596c1e95b3fef3afa","1,257.004583780588812286","No"
"0x9814fc9368ba5242d558642e0dac716a75757b99","1,255.937554466344462106","No"
"0x3722a8bba8aeecacb5ef45208822bf935fbadb75","1,197.852359315850218446","No"
"0xcc9e4ce9f4aa180033aa82745426f1922b3b76ce","1,187.496127206343426198","No"
"0x43a5de74e350ff0b746639b5d4e6c150716401e7","1,160.770705470117812724","No"
"0xd569bad97193415edbf6cf2ecdaf599db70ab1db","1,132.048848196944092196","No"
"0x17da8a289f70e1a10de2a4b051dffccc75d237e3","1,130.537626676514724585","No"
"0xb8898bb87b07bac7ba9c2268e6d0640d5a208a7a","1,100.0922918365850006","No"
"0x2a03f71a5245b7542585dfca127ee6a7ce8c2c45","1,074.600445389045025124","No"
